Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.238,False,11070,11308
0.849,False,19575,20424
0.221,False,25339,25560
0.647,False,32873,33520
0.81,False,38760,39570
0.638,False,45880,46518
0.421,False,52040,52461
0.359,False,58878,59237
0,False,64642,72557
0.371,False,72186,78400
0.548,False,77852,88425
0.755,False,87670,93756
0.294,False,93462,101610
0.431,False,101179,107347
0.403,False,106944,112068
0.386,False,111682,117661
0.219,False,117442,128202
0.528,False,127674,133783
0.239,False,133544,145525
0.448,False,145077,151416
0.558,False,150858,159100
0.424,False,158676,165163
0.714,False,164449,
0,False,171775,
