Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.255,False,11070,11325
0.458,False,19575,20033
0.237,False,25339,25576
0.624,False,32873,33497
0.829,False,38760,39589
0.628,False,45880,46508
0.445,False,52040,52485
0.375,False,58878,59253
0.303,False,64642,64945
0.363,False,72186,72549
0.291,False,77852,78143
0.421,False,87670,88091
0.281,False,93462,93743
0.289,False,101179,101468
0.285,False,106944,107229
0.403,False,111682,112085
0.241,False,117442,117683
0.526,False,127674,128200
0.256,False,133544,133800
0.404,False,145077,145481
0.426,False,150858,151284
0.445,False,158676,159121
0.573,False,164449,165022
0,False,171775,
