Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.21,False,12175,12385
0.352,False,19398,19750
0.211,False,25055,25266
0.281,False,33382,33663
0.262,False,39945,40207
0.294,False,49491,49785
0.223,False,55093,55316
0.707,False,61182,61889
0.506,False,67247,67753
0.376,False,76083,76459
0.226,False,81872,82098
0.369,False,88415,88784
0.234,False,94167,94401
0.385,False,97681,98066
0.241,False,104870,105111
0.325,False,113466,113791
0.206,False,119094,119300
0.594,True,129665,130259
0.129,False,134396,134525
0.259,False,140176,140435
0.437,False,150787,151224
0.417,False,156577,156994
0.336,False,167486,167822
0.457,False,173267,173724
0.394,False,181599,181993
0.254,False,187529,187783
0.443,False,194092,194535
0.263,False,199877,200140
0.466,False,210488,210954
0.211,False,216400,216611
0.242,False,224897,225139
0.249,False,231231,231480
0.445,False,235778,236223
0.374,False,241564,241938
