Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.275,False,8750,9025
0.298,False,21445,21743
0.286,False,27087,27373
0.414,False,35820,36234
0.212,False,41661,41873
0.342,False,51287,51629
0.212,False,56872,57084
0.42,False,61400,61820
0.208,False,67172,67380
0.44,False,72797,73237
0.23,False,78458,78688
0.37,False,85157,85527
0,False,90772,97600
0.278,False,97322,103145
0.294,False,102851,109511
0.482,False,109029,115325
0.42,False,114905,119974
0.39,False,119584,125743
0.268,False,125475,136525
0.391,False,136134,142509
0.644,False,141865,154532
0.36,False,154172,162005
0.824,False,161181,171405
0.692,False,170713,177061
0.27,False,176791,186300
0.251,False,186049,191773
0.193,False,191580,203625
0.436,False,203189,209293
0.427,False,208866,216955
0.364,False,216591,222801
0.402,False,222399,233640
0.378,False,233262,239374
0.295,False,239079,247173
0.485,False,246688,252887
0.338,False,252549,
