Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.255,False,8781,9036
0.4,False,19388,19788
0.303,False,25189,25492
0.346,False,36887,37233
0.231,False,42551,42782
0.301,False,51227,51528
0.257,False,56963,57220
1.064,True,58540,59604
0.415,False,65493,65908
0.289,False,71303,71592
0.686,True,72644,73330
0.652,True,77413,78065
0.31,False,82431,82741
0.695,False,88078,88773
0.431,False,101089,101520
0.197,False,106793,106990
0.512,False,112284,112796
0.261,False,118099,118360
