Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.274,False,8791,9065
0.406,False,19356,19762
0.245,False,25053,25298
0.84,True,30922,31762
0.878,False,36487,37365
0.228,False,42782,43010
0.358,False,53386,53744
0.232,False,59064,59296
0.435,False,68721,69156
0.228,False,74567,74795
0.713,True,78439,79152
0.314,False,83711,84025
0.214,False,89394,89608
0.606,True,92383,92989
0.361,False,98915,99276
0.503,False,104586,105089
0.561,True,109809,110370
0.354,False,115408,115762
0.244,False,121050,121294
0.433,False,124581,125014
0.343,False,130257,130600
0.353,False,141067,141420
0.305,False,146785,147090
