Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.477,False,8743,9220
0.455,False,22569,23024
0.297,False,28349,28646
0.731,False,35973,36704
0.281,False,42144,42425
0.769,False,49579,50348
0.278,False,55743,56021
0.65,False,63281,63931
0.272,False,69261,69533
0.596,True,70876,71472
0.45,False,77890,78340
0.321,False,83749,84070
0.388,False,92572,92960
0.313,False,98351,98664
0.421,False,105979,106400
0.265,False,111768,112033
0.371,False,119383,119754
0.554,False,125143,125697
1.054,False,137277,138331
0.314,False,143644,143958
0.49,False,154283,154773
0.305,False,160052,160357
0.419,False,169681,170100
0.289,False,175455,175744
0.347,False,188688,189035
0.378,False,194455,194833
0.556,False,201078,201634
0.335,False,206845,207180
0.51,False,217503,218013
0.777,False,223367,224144
0.853,True,229882,230735
0.321,False,238279,238600
0.288,False,243973,244261
0,True,246875,
