Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.51,False,8743,9253
0.431,False,22569,23000
0.301,False,28349,28650
0.771,False,35973,36744
0.281,False,42144,42425
0.771,False,49579,50350
0.289,False,55743,56032
0.665,False,63281,63946
0.279,False,69261,69540
0.622,True,70876,71498
0.477,False,77890,78367
0.322,False,83749,84071
0.426,False,92572,92998
0.364,False,98351,98715
0.462,False,105979,106441
0.27,False,111768,112038
0.373,False,119383,119756
0.554,False,125143,125697
1.029,False,137277,138306
0.316,False,143644,143960
0.53,False,154283,154813
0.307,False,160052,160359
0.419,False,169681,170100
0.369,False,175455,175824
0.349,False,188688,189037
0.389,False,194455,194844
0.557,False,201078,201635
0.314,False,206845,207159
0.511,False,217503,218014
0.846,False,223367,224213
0.855,True,229882,230737
0.322,False,238279,238601
0.265,False,243973,244238
0,True,246875,
