Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.559,False,11151,11710
0.453,False,23084,23537
0.42,False,28846,29266
0.552,False,31476,32028
0.374,False,37350,37724
0.527,False,48973,49500
0.248,False,54851,55099
0.478,False,66375,66853
0.265,False,72263,72528
0.461,False,82883,83344
0.281,False,88744,89025
0.348,False,94273,94621
0.341,False,99954,100295
0.375,False,110998,111373
0.245,False,116844,117089
0.685,False,127585,128270
0.307,False,133646,133953
0.269,False,143900,144169
0.273,False,149472,149745
0.464,False,156174,156638
0.278,False,161865,162143
0.474,False,167376,167850
0.266,False,173449,173715
0.351,False,178989,179340
0.477,False,184551,185028
