Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.405,False,12164,12569
0.282,True,29275,29557
0.344,False,34280,34624
0.259,False,40046,40305
0.254,False,49606,49860
0.229,False,55146,55375
0.333,False,63667,64000
0.248,False,69255,69503
0.296,False,76804,77100
0.368,False,82449,82817
0.509,True,89268,89777
0.334,False,94291,94625
0.284,False,99941,100225
0.329,False,104471,104800
0.243,False,110141,110384
0.351,False,116680,117031
0.476,False,122445,122921
0.266,False,131179,131445
0.197,False,137053,137250
