Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.397,False,8752,9149
0.335,False,19514,19849
0.283,False,25260,25543
0.368,False,32909,33277
0.41,False,38686,39096
0.423,False,43383,43806
0.262,False,49046,49308
0.439,False,61089,61528
0.502,False,66878,67380
0.389,False,72714,73103
0.289,False,78497,78786
0.736,False,89072,89808
0.261,False,95147,95408
0.345,False,102411,102756
0.218,False,108056,108274
0.362,False,117583,117945
0.312,False,123948,124260
0.519,False,133585,134104
0.499,False,139381,139880
