Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.022,False,8771,8793
0.193,False,19290,19483
0.341,False,25300,25641
0.785,False,34040,34825
0.183,False,40254,40437
0.522,False,46799,47321
0.194,False,52542,52736
0.315,False,60047,60362
0.215,False,65652,65867
0.3,False,72208,72508
0.369,False,77884,78253
0.293,False,89507,89800
0.219,False,95061,95280
0.267,False,104574,104841
0.24,False,110288,110528
0.309,False,115843,116152
0.172,False,121692,121864
0.303,False,131135,131438
0.195,False,136773,136968
0.426,False,144274,144700
0.46,False,150061,150521
0.31,False,163611,163921
0.237,False,169288,169525
0.372,False,175786,176158
0.344,False,181585,181929
0.247,False,190337,190584
0.258,False,195898,196156
