Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.278,False,8742,9020
0.46,False,17386,17846
0.289,False,23241,23530
0.765,False,28872,29637
0.169,False,34859,35028
0.581,False,42380,42961
0.351,False,48254,48605
0.595,False,58671,59266
0.261,False,64656,64917
0.629,False,74172,74801
0.512,False,80055,80567
1.055,False,88870,89925
0.41,False,95239,95649
0.425,False,99975,100400
0.191,False,105640,105831
0.362,False,111176,111538
0.215,False,116946,117161
0.0,False,124503,124503
0.224,False,129860,130084
0.311,False,136393,136704
0.38,False,141945,142325
0.419,False,146588,147007
0.217,False,152261,152478
0.447,False,160778,161225
0.204,False,166453,166657
0.245,False,179183,179428
0.179,False,184842,185021
0.322,False,208678,209000
0.442,False,214247,214689
