Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.408,False,8685,9093
0.61,False,20637,21247
0.283,False,26553,26836
0.475,False,36190,36665
0.626,False,41948,42574
0.476,False,46824,47300
0.987,False,52665,53652
0.994,False,65931,66925
0.33,False,72195,72525
0.48,False,79773,80253
0.409,False,85572,85981
0.535,False,97786,98321
0.308,False,103589,103897
0.645,False,108180,108825
0.266,False,114259,114525
0.646,True,115376,116022
0.359,False,124794,125153
0.822,False,130455,131277
0.361,False,139591,139952
0.577,False,145388,145965
0.481,False,153333,153814
0.714,False,159211,159925
0.427,False,171178,171605
0.331,False,176890,177221
0.503,False,185593,186096
0.467,False,191458,191925
0.92,False,201100,202020
0.301,False,208763,209064
0.575,False,215598,216173
0.438,False,221563,222001
0.608,False,230292,230900
0.543,False,236285,236828
0.418,False,246199,246617
0.515,False,251869,252384
0.689,False,261863,262552
0.257,False,267868,268125
