Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.422,False,11978,12400
0.543,False,21710,22253
1.018,False,27671,28689
0.737,False,43583,44320
0.358,False,49688,50046
0.504,False,60384,60888
0.321,False,66174,66495
0.471,False,73782,74253
0.662,False,79680,80342
0.733,True,86992,87725
0.691,False,91569,92260
0.664,False,97566,98230
0.457,False,108552,109009
0.313,False,114372,114685
0.959,False,123179,124138
0.291,False,129378,129669
0.464,False,137995,138459
0.844,False,143881,144725
0.548,False,153145,153693
0.61,False,159115,159725
0.885,False,167240,168125
0.366,False,173459,173825
0.421,False,182104,182525
0.345,False,187852,188197
0.795,False,197602,198397
0.281,False,203679,203960
