Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.189,False,8988,9177
0.309,False,17516,17825
0.173,False,23062,23235
0.323,False,32522,32845
0.214,False,38294,38508
0,True,44590,50586
0.475,False,50111,58739
2.761,False,55978,70631
0.511,False,70120,76297
0.211,False,76086,85914
0.303,False,85611,91550
0.191,False,91359,98200
0.318,False,97882,103649
0.2,False,103449,107354
0.347,False,107007,112900
0.219,False,112681,119594
0.408,False,119186,125181
0.307,False,124874,133764
0.571,False,133193,139581
0.294,False,139287,145461
0.506,False,144955,151145
0.256,False,150889,161038
0.304,False,160734,166640
0.265,False,166375,174100
0.113,False,173987,179660
0.194,False,179466,
0,False,183081,
