Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.3,False,8745,9045
0.221,False,18379,18600
0.213,False,23948,24161
0.228,False,34474,34702
0.267,False,39947,40214
0.291,False,48494,48785
0.255,False,54150,54405
0.283,False,62679,62962
0.257,False,68251,68508
0.386,False,78798,79184
0.265,False,84450,84715
0.355,False,93973,94328
0.24,False,99760,100000
0.274,False,108289,108563
0.259,False,113848,114107
0.345,False,119395,119740
0.218,False,125043,125261
0.249,False,134188,134437
0.231,False,139669,139900
0.248,False,148188,148436
0.347,False,153778,154125
0.341,False,159484,159825
0.195,False,165045,165240
0.336,False,170589,170925
0.269,False,176254,176523
0.307,False,180793,181100
0.26,False,186369,186629
0.605,True,190683,191288
0.307,False,194899,195206
0.48,False,200549,201029
0.348,False,207388,207736
0.235,False,213056,213291
0.262,False,220583,220845
0.254,False,226150,226404
0.253,False,234680,234933
0.349,False,240251,240600
0.324,False,244894,245218
0.27,False,250649,250919
0.277,False,257203,257480
0.279,False,262858,263137
