Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
1.715,False,8662,10377
0.445,False,21578,22023
0.501,False,27380,27881
0.855,False,37185,38040
0.62,False,43442,44062
0.989,False,53971,54960
0.644,False,61547,62191
0.845,False,72694,73539
0.48,False,78851,79331
0.269,False,89576,89845
0.975,False,95150,96125
0.375,True,100479,100854
0.468,False,104876,105344
0.815,False,111142,111957
0.369,False,121580,121949
0.651,False,127590,128241
0.324,False,136605,136929
1.065,False,142288,143353
0.41,False,151612,152022
0.591,False,157249,157840
0.447,False,164086,164533
0.37,False,169872,170242
0.565,False,176496,177061
