Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.282,False,8643,8925
0.601,False,21167,21768
0.214,False,27186,27400
0.372,False,36677,37049
0.288,False,42457,42745
0.366,False,65377,65743
0.265,False,71040,71305
0.476,False,77589,78065
0.194,False,83385,83579
0.327,False,93898,94225
0.404,False,99457,99861
0.343,False,108191,108534
0.411,False,113941,114352
0.441,False,123684,124125
0.241,False,129457,129698
0.38,False,136985,137365
0.253,False,142772,143025
0.409,False,149591,150000
0.281,False,155244,155525
0.349,False,163776,164125
0.23,False,169339,169569
0.465,False,177873,178338
0.282,False,183764,184046
0.671,False,193278,193949
0.596,False,199249,199845
0.47,False,205075,205545
0.305,False,210944,211249
0.362,False,219611,219973
0.258,False,225367,225625
0.44,False,232875,233315
0.379,False,238746,239125
0.348,False,247377,247725
0.218,False,253045,253263
