Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.238,False,8643,8881
0.561,False,21167,21728
0.239,False,27186,27425
0.305,False,36677,36982
0.287,False,42457,42744
0.366,False,65377,65743
0.212,False,71040,71252
0.472,False,77589,78061
0.212,False,83385,83597
0.292,False,93898,94190
0.373,False,99457,99830
0.069,False,108191,108260
0.41,False,113941,114351
0.146,False,123684,123830
0.228,False,129457,129685
0.38,False,136985,137365
0.253,False,142772,143025
0.37,False,149591,149961
0.231,False,155244,155475
0.327,False,163776,164103
0.221,False,169339,169560
0.424,False,177873,178297
0.261,False,183764,184025
0.635,False,193278,193913
0.496,False,199249,199745
0.425,False,205075,205500
0.289,False,210944,211233
0.358,False,219611,219969
0.197,False,225367,225564
0.438,False,232875,233313
0.296,False,238746,239042
0.348,True,247377,247725
0.216,False,253045,253261
