Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.366,False,8886,9252
0.378,False,21603,21981
0.284,False,27384,27668
0.428,False,35188,35616
0.27,False,40976,41246
0.468,False,49416,49884
0.358,False,55306,55664
0.723,False,64110,64833
0.285,False,70155,70440
0.2,False,80784,80984
0.284,False,86374,86658
0.0,False,95995,95995
0.552,False,101272,101824
0.409,False,117215,117624
0.302,False,122842,123144
0.403,False,134119,134522
0.467,False,139757,140224
0.307,False,149533,149840
0.268,False,155169,155437
0.491,True,159892,160383
