Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.352,False,14012,14364
0.384,False,25780,26164
0.274,False,31610,31884
0.359,False,39294,39653
1.158,False,45103,46261
0.314,False,52686,53000
0.254,False,58314,58568
0.382,False,66943,67325
0.255,False,72621,72876
0.257,False,82020,82277
0.243,False,87626,87869
0.277,False,102570,102847
0.238,False,108422,108660
0.517,False,115067,115584
0.222,False,121049,121271
0.605,False,126709,127314
0.218,False,132716,132934
0.445,False,138353,138798
0.195,False,144213,144408
0.547,True,147910,148457
0.374,False,156903,157277
0.425,False,162720,163145
0.391,False,170641,171032
0.22,False,176424,176644
0.256,False,182072,182328
0.26,False,187621,187881
0.458,False,195376,195834
0.292,False,201244,201536
0.557,False,207051,207608
0.312,False,213043,213355
0.277,False,222705,222982
0.237,False,228429,228666
0.387,False,238138,238525
0.197,False,243951,244148
0.135,False,252538,252673
0.23,False,258319,258549
