Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.349,False,8676,9025
0.691,False,15333,16024
0.346,False,21379,21725
0.297,False,31113,31410
0.235,False,36742,36977
0.633,False,42284,42917
0.245,False,48263,48508
0.415,False,57810,58225
0.244,False,63656,63900
0.444,False,70181,70625
0.291,False,75878,76169
0.392,False,83538,83930
1.469,False,89222,90691
0.519,False,96058,96577
0.458,False,101995,102453
0.468,False,110780,111248
0.231,False,117369,117600
0.335,False,125890,126225
0.247,False,131513,131760
0.422,False,139239,139661
0.26,False,145987,146247
0.425,False,152540,152965
0.374,False,158388,158762
0.258,False,169087,169345
0.241,False,174684,174925
0.132,False,182193,182325
0.348,False,187672,188020
0.537,False,194291,194828
0.276,False,200074,200350
0.338,False,207631,207969
0.27,False,213265,213535
0.504,False,220794,221298
0.3,False,226581,226881
0.216,False,238196,238412
0.281,False,244363,244644
0.298,False,255091,255389
0.489,False,260758,261247
0.333,False,268596,268929
0.244,False,274296,274540
0.305,False,281864,282169
0.273,False,287483,287756
0,False,295102,
