Reaction times,Ambulance
0.19,False
0.238,False
0.255,False
0.236,False
0.227,False
0.277,False
0.206,False
0.563,True
0.0,True
0.13,False
0.239,False
0.234,False
0.216,False
0.284,False
0.274,False
0.324,False
0.196,False
0.287,False
0.193,False
0.441,False
0.25,False
0.344,False
0.232,False
0.244,False
0.255,False
0.2,False
0.184,False
0.362,False
0.265,False
0.344,False
0.2,False
0.302,False
0.49,False
0.439,False
0.267,False
0.245,False
0.452,False
0.32,False
0.184,False
0.469,False
0.234,False
